"Run" "Method" "K" "BalancedAccuracy"
"400" 50 "Jaccard" "K=7" 0.861436443673286
"401" 1 "Dice" "K=7" 0.854998409620258
"402" 2 "Dice" "K=7" 0.751516970424533
"403" 3 "Dice" "K=7" 0.804003598740441
"404" 4 "Dice" "K=7" 0.72884666963008
"405" 5 "Dice" "K=7" 0.845728744939271
"406" 6 "Dice" "K=7" 0.790679212965397
"407" 7 "Dice" "K=7" 0.887979479490515
"408" 8 "Dice" "K=7" 0.869729470735663
"409" 9 "Dice" "K=7" 0.929080179080179
"410" 10 "Dice" "K=7" 0.760594987517132
"411" 11 "Dice" "K=7" 0.825
"412" 12 "Dice" "K=7" 0.753147386882227
"413" 13 "Dice" "K=7" 0.840628581181577
"414" 14 "Dice" "K=7" 0.669393147463323
"415" 15 "Dice" "K=7" 0.765382697852987
"416" 16 "Dice" "K=7" 0.739425043784288
"417" 17 "Dice" "K=7" 0.763130047340574
"418" 18 "Dice" "K=7" 0.685941606423658
"419" 19 "Dice" "K=7" 0.836633754860356
"420" 20 "Dice" "K=7" 0.749022295321637
"421" 21 "Dice" "K=7" 0.749660328034874
"422" 22 "Dice" "K=7" 0.795773304627471
"423" 23 "Dice" "K=7" 0.741849479349479
"424" 24 "Dice" "K=7" 0.837961241485582
"425" 25 "Dice" "K=7" 0.857780208375216
"426" 26 "Dice" "K=7" 0.837865369526554
"427" 27 "Dice" "K=7" 0.658619372905087
"428" 28 "Dice" "K=7" 0.945676691729323
"429" 29 "Dice" "K=7" 0.696327803470661
"430" 30 "Dice" "K=7" 0.830627705627706
"431" 31 "Dice" "K=7" 0.750649703995569
"432" 32 "Dice" "K=7" 0.816433239962652
"433" 33 "Dice" "K=7" 0.755769230769231
"434" 34 "Dice" "K=7" 0.771440860215054
"435" 35 "Dice" "K=7" 0.729872309613689
"436" 36 "Dice" "K=7" 0.762290367277322
"437" 37 "Dice" "K=7" 0.804448661184904
"438" 38 "Dice" "K=7" 0.801023001023001
"439" 39 "Dice" "K=7" 0.888349567099567
"440" 40 "Dice" "K=7" 0.692711451913489
"441" 41 "Dice" "K=7" 0.772584431499873
"442" 42 "Dice" "K=7" 0.854926928326509
"443" 43 "Dice" "K=7" 0.828822392226685
"444" 44 "Dice" "K=7" 0.747447791565439
"445" 45 "Dice" "K=7" 0.791596638655462
"446" 46 "Dice" "K=7" 0.828067037625861
